1.789;1.789;1.789
1.683;1.683;1.683
1.669;1.669;1.669
1.66;1.66;1.66
1.56;1.56;1.56
1.497;1.497;1.497
1.473;1.473;1.473
1.368;1.368;1.368
1.362;1.362;1.362
1.339;1.339;1.339
1.178;1.178;1.178
1.131;1.131;1.131
1.093;1.093;1.093
1.092;1.092;1.092
1.069;1.069;1.069
1.044;1.044;1.044
1.04;1.04;1.04
0.986;0.986;0.986
0.9;0.9;0.9
0.831;0.831;0.831
0.828;0.828;0.828
0.725;0.725;0.725
0.668;0.668;0.668
0.668;0.668;0.668
0.65;0.65;0.65
0.623;0.623;0.623
0.608;0.608;0.608
-0.585;-0.585;-0.585
-0.57;-0.57;-0.57
-0.511;-0.511;-0.511
-0.479;-0.479;-0.479
0.407;0.407;0.407
-0.389;-0.389;-0.389
-0.381;-0.381;-0.381
-0.374;-0.374;-0.374
-0.373;-0.373;-0.373
-0.361;-0.361;-0.361
-0.361;-0.361;-0.361
-0.361;-0.361;-0.361
-0.35;-0.35;-0.35
-0.346;-0.346;-0.346
-0.338;-0.338;-0.338
-0.335;-0.335;-0.335
0.322;0.322;0.322
-0.314;-0.314;-0.314
0.306;0.306;0.306
-0.3;-0.3;-0.3
-0.299;-0.299;-0.299
0.298;0.298;0.298
-0.281;-0.281;-0.281
-0.268;-0.268;-0.268
0.262;0.262;0.262
-0.246;-0.246;-0.246
0.235;0.235;0.235
-0.231;-0.231;-0.231
0.226;0.226;0.226
0.222;0.222;0.222
-0.217;-0.217;-0.217
-0.215;-0.215;-0.215
0.213;0.213;0.213
-0.211;-0.211;-0.211
-0.207;-0.207;-0.207
-0.206;-0.206;-0.206
-0.201;-0.201;-0.201
-0.195;-0.195;-0.195
0.185;0.185;0.185
0.181;0.181;0.181
-0.179;-0.179;-0.179
0.168;0.168;0.168
0.168;0.168;0.168
-0.166;-0.166;-0.166
-0.165;-0.165;-0.165
-0.163;-0.163;-0.163
-0.156;-0.156;-0.156
-0.156;-0.156;-0.156
0.148;0.148;0.148
-0.142;-0.142;-0.142
-0.131;-0.131;-0.131
-0.129;-0.129;-0.129
0.126;0.126;0.126
-0.125;-0.125;-0.125
-0.124;-0.124;-0.124
-0.121;-0.121;-0.121
0.118;0.118;0.118
-0.117;-0.117;-0.117
0.115;0.115;0.115
0.11;0.11;0.11
0.11;0.11;0.11
0.107;0.107;0.107
-0.107;-0.107;-0.107
0.096;0.096;0.096
-0.096;-0.096;-0.096
-0.095;-0.095;-0.095
-0.092;-0.092;-0.092
-0.088;-0.088;-0.088
-0.087;-0.087;-0.087
0.085;0.085;0.085
-0.081;-0.081;-0.081
-0.08;-0.08;-0.08
0.079;0.079;0.079
-0.078;-0.078;-0.078
-0.078;-0.078;-0.078
0.078;0.078;0.078
-0.078;-0.078;-0.078
0.077;0.077;0.077
-0.077;-0.077;-0.077
0.077;0.077;0.077
0.075;0.075;0.075
0.073;0.073;0.073
0.072;0.072;0.072
-0.071;-0.071;-0.071
0.069;0.069;0.069
0.068;0.068;0.068
0.068;0.068;0.068
0.065;0.065;0.065
-0.063;-0.063;-0.063
-0.063;-0.063;-0.063
0.061;0.061;0.061
0.061;0.061;0.061
0.06;0.06;0.06
-0.06;-0.06;-0.06
0.059;0.059;0.059
-0.055;-0.055;-0.055
-0.054;-0.054;-0.054
-0.053;-0.053;-0.053
-0.051;-0.051;-0.051
0.051;0.051;0.051
-0.05;-0.05;-0.05
-0.049;-0.049;-0.049
-0.048;-0.048;-0.048
-0.047;-0.047;-0.047
0.045;0.045;0.045
0.044;0.044;0.044
-0.043;-0.043;-0.043
-0.043;-0.043;-0.043
0.043;0.043;0.043
-0.042;-0.042;-0.042
0.04;0.04;0.04
0.04;0.04;0.04
-0.038;-0.038;-0.038
-0.036;-0.036;-0.036
0.035;0.035;0.035
-0.034;-0.034;-0.034
-0.033;-0.033;-0.033
0.031;0.031;0.031
-0.03;-0.03;-0.03
-0.029;-0.029;-0.029
-0.029;-0.029;-0.029
0.029;0.029;0.029
-0.027;-0.027;-0.027
-0.026;-0.026;-0.026
-0.026;-0.026;-0.026
0.025;0.025;0.025
0.025;0.025;0.025
-0.024;-0.024;-0.024
0.021;0.021;0.021
0.02;0.02;0.02
0.02;0.02;0.02
0.019;0.019;0.019
-0.016;-0.016;-0.016
-0.015;-0.015;-0.015
0.015;0.015;0.015
-0.015;-0.015;-0.015
-0.015;-0.015;-0.015
-0.014;-0.014;-0.014
-0.013;-0.013;-0.013
-0.013;-0.013;-0.013
0.013;0.013;0.013
-0.012;-0.012;-0.012
-0.012;-0.012;-0.012
-0.011;-0.011;-0.011
-0.011;-0.011;-0.011
0.009;0.009;0.009
-0.009;-0.009;-0.009
0.009;0.009;0.009
0.009;0.009;0.009
0.008;0.008;0.008
0.006;0.006;0.006
0.005;0.005;0.005
-0.005;-0.005;-0.005
-0.004;-0.004;-0.004
-0.004;-0.004;-0.004
0.003;0.003;0.003
-0.002;-0.002;-0.002
-0.001;-0.001;-0.001
-0.001;-0.001;-0.001
-0.001;-0.001;-0.001
-0.001;-0.001;-0.001
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
